isolate_name,isolate_species,isolate_colDate,isolate_colLocation,isolate_sourceType,isolate_sourceName,profile_1,profile_2,profile_3
Isolate1,Species2,2019-05-01,Ward 1,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate2,Species1,2018-03-28,Ward 1,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate3,Species1,2018-08-05,Ward 1,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate4,Species1,2019-08-16,Ward 1,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate5,Species1,2018-01-27,Ward 1,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate6,Species1,2019-12-17,Ward 1,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate7,Species1,2020-01-12,Ward 1,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate8,Species1,2019-11-20,Ward 1,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate9,Species1,2019-11-12,Ward 1,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate10,Species1,2019-12-20,Ward 1,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate11,Species2,2019-09-22,Ward 1,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate12,Species2,2019-12-17,Ward 1,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate13,Species2,2019-04-06,Ward 1,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate14,Species2,2019-09-02,Ward 1,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate15,Species2,2019-04-28,Ward 1,Others,NA,Sp2 NF,ResGeneB,NA
Isolate16,Species2,2019-11-20,Ward 1,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate17,Species2,2019-09-24,Ward 1,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate18,Species2,2019-09-28,Ward 1,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate19,Species2,2019-04-29,Ward 1,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate20,Species2,2019-05-01,Ward 1,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate21,Species1,2018-03-28,Ward 1,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate22,Species1,2018-08-05,Ward 1,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate23,Species1,2019-08-16,Ward 1,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate24,Species1,2018-01-27,Ward 1,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate25,Species1,2019-12-17,Ward 1,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate26,Species1,2020-01-12,Ward 1,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate27,Species1,2019-11-20,Ward 1,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate28,Species1,2019-11-12,Ward 1,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate29,Species1,2019-12-20,Ward 1,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate30,Species2,2019-09-22,Ward 1,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate31,Species2,2019-12-17,Ward 1,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate32,Species2,2019-04-06,Ward 1,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate33,Species2,2019-09-02,Ward 1,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate34,Species2,2019-04-28,Ward 1,Others,NA,Sp2 NF,ResGeneB,NA
Isolate35,Species2,2019-11-20,Ward 1,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate36,Species2,2019-09-24,Ward 1,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate37,Species2,2019-09-28,Ward 1,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate38,Species2,2019-04-29,Ward 1,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate39,Species2,2019-05-01,Ward 1,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate40,Species1,2018-03-28,Ward 1,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate41,Species1,2018-08-05,Ward 1,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate42,Species1,2019-08-16,Ward 1,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate43,Species1,2018-01-27,Ward 1,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate44,Species1,2019-12-17,Ward 1,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate45,Species1,2020-01-12,Ward 1,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate46,Species1,2019-11-20,Ward 1,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate47,Species1,2019-11-12,Ward 1,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate48,Species1,2019-12-20,Ward 1,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate49,Species2,2019-09-22,Ward 1,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate50,Species2,2019-12-17,Ward 1,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate51,Species2,2019-04-06,Ward 1,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate52,Species2,2019-09-02,Ward 1,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate53,Species2,2019-04-28,Ward 1,Others,NA,Sp2 NF,ResGeneB,NA
Isolate54,Species2,2019-11-20,Ward 1,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate55,Species2,2019-09-24,Ward 1,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate56,Species2,2019-09-28,Ward 1,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate57,Species2,2019-04-29,Ward 1,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate58,Species2,2019-05-01,NA,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate59,Species1,2018-03-28,NA,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate60,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate61,Species1,2019-08-16,NA,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate62,Species1,2018-01-27,NA,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate63,Species1,2019-12-17,NA,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate64,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate65,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate66,Species1,2019-11-12,NA,Others,NA,Sp1 ST 20,ResGeneD,NA
Isolate67,Species1,2019-12-20,NA,Others,NA,Sp1 ST 19,ResGeneE,NA
Isolate68,Species2,2019-09-22,NA,Others,NA,Sp2 ST 17,ResGeneC,NA
Isolate69,Species2,2019-12-17,NA,Others,NA,Sp2 ST 17,ResGeneD,NA
Isolate70,Species2,2019-04-06,NA,Others,NA,Sp2 ST 18,ResGeneB,NA
Isolate71,Species2,2019-09-02,NA,Others,NA,Sp2 ST 19,ResGeneD,NA
Isolate72,Species2,2019-04-28,NA,Others,NA,Sp2 NF,ResGeneB,NA
Isolate73,Species2,2019-11-20,NA,Others,NA,Sp2 ST 19,ResGeneE,NA
Isolate74,Species2,2019-09-24,NA,Others,NA,Sp2 ST 78,ResGeneE,NA
Isolate75,Species2,2019-09-28,NA,Others,NA,Sp2 ST 328,ResGeneE,NA
Isolate76,Species2,2019-04-29,NA,Others,NA,Sp2 ST 800,ResGeneB,NA
Isolate77,Species2,2019-05-01,NA,Others,NA,Sp2 ST 17,ResGeneE,NA
Isolate78,Species1,2018-03-28,NA,Others,NA,Sp1 ST 18,ResGeneB,NA
Isolate79,Species1,2018-08-05,NA,Others,NA,Sp1 ST 20,ResGeneB,NA
Isolate80,Species1,2019-08-16,NA,Others,NA,Sp1 ST 20,ResGeneC,NA
Isolate81,Species1,2018-01-27,NA,Others,NA,Sp1 ST 20,ResGeneA,NA
Isolate82,Species1,2019-12-17,NA,Others,NA,Sp1 ST 761,ResGeneD,NA
Isolate83,Species1,2020-01-12,NA,Others,NA,Sp1 ST 20,ResGeneE,NA
Isolate84,Species1,2019-11-20,NA,Others,NA,Sp1 ST 18,ResGeneD,NA
Isolate85,Species1,2019-11-12,NA,Others,NA,Sp1 ST 20,ResGeneD,NA
